cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R9-56-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B2-AL-R4-153-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B2-AL-R5-153-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R3-243-2,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R5-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R7-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R7-243-2,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R8-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R9-243-1,AL,AL,10,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-244-1,AL,AL,12,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-244-1,AL,AL,12,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-244-2,AL,AL,12,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R4-244-3,AL,AL,12,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R6-244-1,AL,AL,12,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B2-AL-R6-155-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R1-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R10-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R5-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R5-245-2,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R6-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R7-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R8-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R8-245-2,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R8-245-3,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B3-AL-R9-245-1,AL,AL,14,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
canton_s_dd,ALL,all,FLY-canton_s_dd-B1-AL-R9-59-1,AL,AL,16,true,dead,D. melanogaster,Canton-S,ad_libitum,Ad libitum control,ad_libitum,5,% yeast extract,constant darkness,true,
