cohort,site,sex,id,group,control_group,age_days,dead,status,species,strain,compound,compound_display_name,control_compound,concentration,units,condition,is_control,age_initiation_months
2019-04,ALL,m,KF-2019-04-331,AL,AL,103,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-313,AL,AL,106,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-316,AL,AL,119,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-391,AL,AL,120,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-371,AL,AL,125,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-320,AL,AL,126,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-392,AL,AL,134,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-375,AL,AL,148,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-367,AL,AL,150,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-402,AL,AL,154,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-380,AL,AL,163,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-308,AL,AL,170,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-315,AL,AL,177,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-352,AL,AL,256,true,dead,N. furzeri,GRZ,ad_libitum,Ad libitum control,ad_libitum,,,automated feeding,true,
2019-04,ALL,m,KF-2019-04-319,DR,AL,65,false,censored,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-390,DR,AL,101,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-335,DR,AL,110,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-393,DR,AL,116,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-332,DR,AL,122,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-381,DR,AL,129,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-370,DR,AL,138,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-386,DR,AL,140,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-397,DR,AL,145,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-398,DR,AL,150,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-350,DR,AL,152,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-383,DR,AL,152,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-342,DR,AL,214,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-324,DR,AL,374,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
2019-04,ALL,m,KF-2019-04-372,DR,AL,408,true,dead,N. furzeri,GRZ,dietary_restriction,Dietary restriction,ad_libitum,,,automated feeding,false,
