ref_id	caption	orda	restrict	descript	external_url
529	Definition of NIFTI format	0	0	Canonical website defining the NIFTI format.	www.nitrc.org/projects/nifti/index.html
955	Genome-wide association analysis of 95,549 individuals identifies novel loci and genes influencing o	0	0	Published in Human Molecular Genetics (2019) as part of UK Biobank application 25331.	doi.org/10.1093/hmg/ddz193
2068	Online UKB information about incidental findings	0	0	Online UKB information about incidental findings	www.ukbiobank.ac.uk/explore-your-participation/contribute-further/imaging-study/incidental-findings
3594	Cross-sectional study of diet, physical activity, television viewing and sleep duration	0	0	Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233,110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 Diabetes.<p>Sophie Cassidy, Josephine Y Chau, Michael Catt, Adrian Bauman, Michael I Trenell <p> BMJ Open 2016;6:e010038. doi:10.1136/bmjopen-2015-010038	bmjopen.bmj.com/content/6/3/e010038
9001	Brain MRI group-average images online visualisation	0	0	This document contains links to visualisations of the UK Biobank rfMRI/tfMRI results and related imaging tools.	www.fmrib.ox.ac.uk/analysis/techrep/ukb/index.html
12168	ShMOLLI for clinical myocardial T1-mapping	0	0	Paper describing Shortened Modified Look-Locker Inversion recovery (ShMOLLI) for clinical myocardial T1-mapping at 1.5 and 3 T within a 9 heartbeat breathhold.	www.jcmr-online.com/content/12/1/69
15146	Cardiac MRI exam rationale and protocol concepts	0	0	Describes the cardiac MRI exam rationale and protocol concepts.	www.jcmr-online.com/content/15/1/46
300791	PAN-UKB website at Broad Institute	0	0	Description of a study of multi-ancestry analysis of 7,228 phenotypes, across 6 continental ancestry groups, for a total of 16,131 genome-wide association studies.	pan.ukbb.broadinstitute.org/
572347	Exome sequencing and characterization of coding variation	0	0	This paper describes the first tranche of large-scale exome sequence data for 49,960 study participants, revealing approximately 4 million coding variants (of which ~98.4% have frequency &lt;1%). The data includes 231,631 predicted loss of function variants, a >10-fold increase compared to imputed sequence for the same participants. Nearly all genes (&gt;97%) had &ge;1 predicted loss of function carrier, and most genes (&gt;69%) had &ge;0 loss of function carriers. We illustrate the power of characterizing loss of function variation in this large population through association analyses across 1,741 phenotypes. In addition to replicating a range of established associations, it describes novel loss of function variants with large effects on disease traits, including PIEZO1 on varicose veins, COL6A1 on corneal resistance, MEPE on bone density, and IQGAP2 and GMPR on blood cell traits. It further demonstrates the value of exome sequencing by surveying the prevalence of pathogenic variants of clinical significance in this population, finding that 2% of the population has a medically actionable variant. Additionally, it uses phenotypic data to characterize the relationship between rare BRCA1 and BRCA2 pathogenic variants and cancer risk.	www.biorxiv.org/content/10.1101/572347v1
