field_id	ref_id
20165	2035
20166	2035
20167	2036
20168	2036
20169	2037
20170	2037
20171	2038
20172	2038
20173	2039
20174	2039
20175	2040
20176	2040
20177	2041
20178	2041
20179	2042
20180	2042
20181	2043
20182	2043
20183	2044
20184	2044
20185	2045
20186	2045
20187	2046
20188	2046
20189	2047
20190	2047
20193	2048
20194	2048
20201	20201
20202	1424
20204	20204
20205	20205
20207	20207
20208	20208
20209	20209
20210	20210
20211	20211
20212	20212
20213	20213
20214	12168
20214	20214
20215	23434
20216	346
20217	37
20218	220
20219	32579
20220	755
20224	45184
20225	36
20230	501
20250	20250
20251	20251
20252	20252
20254	558
20259	177
20260	775
20263	20263
20266	6840
20269	1406
20270	1406
20271	1406
20272	1406
20273	1406
20274	1406
20275	1406
20276	1406
20279	1910
20401	431
20403	437
20404	432
20405	439
20406	432
20407	438
20408	438
20409	438
20410	439
20411	439
20412	438
20413	438
20414	437
20415	432
20416	437
20417	427
20418	429
20419	427
20420	423
20421	423
20422	427
20423	427
20425	423
20426	427
20427	427
20428	428
20429	427
20431	435
20432	435
20433	415
20434	415
20435	413
20436	410
20437	413
20438	414
20439	410
20440	414
20441	408
20442	415
20445	415
20446	408
20447	409
20448	416
20449	410
20450	413
20453	440
20454	440
20455	440
20456	434
20457	434
20458	455
20459	455
20460	456
20461	443
20462	443
20463	442
20465	442
20466	444
20467	443
20468	442
20470	442
20471	442
20473	442
20474	442
20476	442
20477	444
20479	452
20480	452
20481	452
20482	452
20483	453
20484	453
20485	452
20486	452
20487	446
20488	446
20489	446
20490	446
20491	446
20492	420
20493	420
20494	450
20495	449
20496	450
20497	449
20498	449
20499	403
20500	403
20501	418
20502	418
20503	433
20504	433
20505	422
20506	422
20507	407
20508	407
20509	422
20510	407
20511	407
20512	422
20513	407
20514	407
20515	422
20516	422
20517	407
20518	407
20519	407
20520	422
20521	447
20522	447
20523	447
20524	447
20525	447
20526	448
20527	448
20528	448
20529	448
20530	448
20531	448
20532	412
20533	412
20534	412
20535	412
20536	411
20537	426
20538	424
20539	426
20540	425
20541	425
20542	424
20543	424
20544	404
20544	405
20546	416
20547	416
20548	419
20549	428
20550	428
20551	433
20552	435
20553	453
20554	453
21000	100336
21000	100500
21000	100613
21000	100614
21000	100615
21008	10510
21011	31
21012	30
21013	31
21014	30
21015	115585
21016	115585
21017	337
21018	337
21023	1230
21023	2379
21023	3111
21023	7121
21024	1230
21025	7201
21026	1033
21026	2907
21027	1033
21028	1033
21029	1033
21030	8639
21031	8639
21032	8639
21033	3885
21034	3885
21035	3702
21035	4893
21035	5822
21036	3702
21036	4893
21036	5822
21037	3702
21038	3702
21038	4893
21038	5822
21039	3702
21040	4893
21040	5822
21041	4893
21041	5822
21042	6011
21043	6011
21044	6011
21045	2629
21046	2629
21047	2629
21048	6032
21049	6032
21050	6032
21050	9181
21051	6032
21052	6032
21053	6032
21054	6032
21055	5291
21056	5291
21057	5291
21058	5291
21059	5291
21060	5291
21061	5291
21062	5185
21063	5185
21064	5185
21065	5185
21066	5185
21067	5185
21068	4017
21069	2083
21070	3221
21071	3221
21072	8754
21073	1602
21074	1602
21075	1602
21076	1602
22002	149840
22004	149744
22009	149744
22126	158596
22127	158596
22128	158596
22129	158596
22130	158596
22131	158596
22132	158583
22132	158596
22133	158583
22133	158596
22134	158583
22134	158596
22135	158583
22135	158596
22136	158583
22136	158596
22137	158583
22137	158596
22138	158583
22138	158596
22139	158583
22139	158596
22140	158583
22140	158596
22141	158583
22141	158596
22146	158583
22146	158596
22147	158583
22147	158596
22148	158583
22148	158596
22149	158583
22149	158596
22150	158583
22150	158596
22151	158583
22151	158596
22152	158583
22152	158596
22153	158583
22153	158596
22154	158583
22154	158596
22155	158583
22155	158596
22156	158583
22156	158596
22157	158583
22157	158596
22158	158583
22158	158596
22159	158583
22159	158596
22160	158583
22160	158596
22161	158583
22161	158596
22166	158583
22166	158596
22167	158583
22167	158596
22168	158583
22168	158596
22169	158583
22169	158596
22170	158583
22170	158596
22171	158583
22171	158596
22172	158583
22172	158596
22173	158583
22173	158596
22174	158583
22174	158596
22175	158583
22175	158596
22176	158583
22176	158596
22177	158583
22177	158596
22178	158583
22178	158596
22179	158583
22179	158596
22180	158583
22180	158596
22181	158583
22181	158596
22182	182
22182	1520
22182	2182
22200	158595
22500	158606
22501	158595
22502	158582
22503	158582
22504	158598
22505	158598
22506	158605
22507	158604
22601	158585
22601	158586
22601	158587
22601	158588
22601	158589
22601	158592
22601	158593
22601	158594
22606	158584
22607	158584
22608	158584
22609	158584
22610	158584
22611	158584
22612	158584
22613	158584
22614	158584
22615	158584
22616	158581
22617	158586
22618	158581
22619	158581
22620	158601
22630	158602
22631	158603
22640	158602
22641	158602
22641	158603
22642	158602
22643	158602
22644	158602
22645	158602
22650	158602
22651	158603
22652	158602
22653	158602
22654	158602
22655	158602
22660	158580
22660	158597
22660	158599
22660	158600
22661	158580
23141	23141
23142	21342
23143	23143
23144	23144
23155	200
23155	668
23156	668
23156	837
23156	952
23160	1534
23374	2008
24305	1912
24306	1912
24310	2009
24412	2066
25478	25478
25747	25747
25748	25478
25749	25749
25750	523
25751	520
25752	524
25753	521
25754	525
25755	522
26301	26301
27851	955
27852	955
27853	955
27854	955
27855	955
27856	955
27857	955
27858	955
28034	4403
28035	4404
28036	4404
28037	4405
28038	4405
28039	4406
28040	4406
28041	4407
28042	4407
28043	4408
28044	4408
28045	4409
28046	4409
28047	4410
28048	4410
28049	4410
28050	4410
28051	4411
28052	4411
28053	4412
28054	4413
28055	4413
28056	4414
28057	4414
28058	4414
28059	4415
28060	4416
28061	4417
28062	4418
28063	4419
28064	4420
28065	4421
28066	4421
28067	4421
28068	4421
28069	4422
28070	4422
28071	4422
28072	4422
28073	4423
28074	4424
28075	4425
28076	4426
28077	4423
28078	4424
28079	4425
28080	4426
28081	4423
28082	4424
28083	4425
28084	4426
28085	4427
28086	4428
28087	4429
28088	4430
28089	4427
28090	4428
28091	4429
28092	4430
28093	4427
28094	4428
28095	4429
28096	4430
28097	4427
28098	4428
28099	4429
28100	4430
28101	4431
28102	4432
28103	4433
28104	4434
28105	4431
28106	4432
28107	4433
28108	4434
28109	4431
28110	4432
28111	4433
28112	4434
28113	4431
28114	4432
28115	4433
28116	4434
28117	4435
28118	4436
28119	4437
28120	4438
28121	4439
28122	4440
28123	4440
28124	4441
28125	4441
28126	4442
28127	4402
28127	4443
28600	2501
28601	2502
28602	2502
28603	2501
28604	2502
28605	2502
28606	2501
28607	2502
28608	2502
28609	2503
28610	2504
28611	2504
28612	2503
28613	2504
28614	2504
28615	2503
28616	2504
28617	2504
28618	2503
28619	2504
28620	2504
28621	2505
28622	2506
28623	2506
28624	2505
28625	2506
28626	2506
28627	2505
28628	2506
28629	2506
28630	2505
28631	2506
28632	2506
28633	2507
28634	2508
28635	2508
28636	2507
28637	2508
28638	2508
28639	2507
28640	2508
28641	2508
28642	2507
28643	2508
28644	2508
28645	2507
28646	2508
28647	2508
28648	2509
28649	2510
28650	2510
28651	2509
28652	2510
28653	2510
28654	2509
28655	2510
28656	2510
28657	2509
28658	2510
28659	2510
28660	2509
28661	2510
28662	2510
28663	2511
28664	2512
28665	2512
28666	2511
28667	2512
28668	2512
28669	2511
28670	2512
28671	2512
28672	2511
28673	2512
28674	2512
28675	2513
28676	2514
28677	2514
28678	2513
28679	2514
28680	2514
28681	2513
28682	2514
28683	2514
28684	2513
28685	2514
28686	2514
28687	2515
28688	2516
28689	2516
28690	2515
28691	2516
28692	2516
28693	2515
28694	2516
28695	2516
28696	2515
28697	2516
28698	2516
28699	2515
28700	2516
28701	2516
28702	2515
28703	2516
28704	2516
28705	2517
28706	2518
28707	2518
28708	2517
28709	2518
28710	2518
28711	2517
28712	2518
28713	2518
28714	2519
28715	2520
28716	2520
28717	2519
28718	2520
28719	2520
28720	2521
28721	2522
28722	2522
28723	2521
28724	2522
28725	2522
28726	2521
28727	2522
28728	2522
28729	2523
28730	2524
28731	2524
28732	2523
28733	2524
28734	2524
28735	2525
28736	2525
28737	2525
28738	2525
28739	2526
28740	2526
28741	2526
28742	2526
28743	2526
28744	2527
28745	2527
28746	2527
28747	2527
28748	2527
28749	2528
28750	2528
28751	2528
28752	2528
28753	2529
28755	2500
28755	2530
28755	2531
28755	2532
28755	2533
28755	2534
28755	2535
28755	2536
29000	2801
29001	2801
29002	2802
29003	2802
29004	2802
29005	2802
29006	2802
29007	2802
29008	2802
29009	2802
29010	2802
29011	2803
29012	2803
29013	2804
29014	2804
29015	2804
29016	2804
29017	2804
29018	2804
29019	2805
29020	2805
29021	2805
29022	2806
29023	2806
29024	2806
29025	2806
29026	2807
29027	2807
29028	2807
29029	2807
29030	2807
29031	2807
29032	2807
29033	2808
29034	2809
29035	2809
29036	2809
29037	2810
29038	2811
29039	2811
29040	2812
29041	2812
29042	2812
29043	2812
29044	2812
29045	2812
29046	2812
29047	2812
29048	2813
29049	2814
29050	2814
29051	2815
29052	2816
29053	2816
29054	2816
29055	2817
29056	2817
29057	2817
29058	2818
29059	2818
29060	2818
29061	2818
29062	2818
29063	2818
29064	2818
29065	2819
29066	2820
29067	2821
29068	2821
29069	2821
29070	2822
29071	2823
29072	2824
29073	2824
29074	2824
29075	2824
29076	2825
29077	2825
29078	2825
29079	2825
29080	2825
29081	2826
29082	2826
29083	2826
29084	2826
29085	2826
29086	2827
29087	2827
29088	2827
29089	2827
29090	2827
29091	2828
29092	2829
29093	2829
29094	2830
29095	2830
29096	2830
29097	2830
29098	2830
29099	2831
29100	2831
29101	2832
29102	2833
29103	2833
29104	2834
29105	2835
29106	2835
29107	2835
29108	2836
29109	2836
29110	2837
29111	2837
29112	2838
29113	2838
29114	2838
29115	2838
29116	2839
29117	2840
29118	2840
29119	2840
29120	2841
29121	2842
29122	2842
29123	2842
29124	2842
29125	2842
29126	2842
29127	2842
29128	2842
29129	2842
29130	2842
29131	2843
29132	2844
29133	2845
29134	2845
29135	2845
29136	2845
29137	2845
29138	2846
29139	2846
29140	2846
29141	2847
29142	2848
29143	2848
29144	2848
29145	2849
29146	2850
29147	2850
29148	2850
29149	2850
29150	2851
29151	2852
29152	2853
29153	2854
29154	2855
29155	2856
29156	2857
29157	2858
29158	2858
29159	2858
29160	2858
29161	2858
29162	2859
29163	2859
29164	2859
29165	2859
29166	2859
29167	2860
29168	2860
29169	2860
29170	2861
29171	2861
29172	2861
29173	2861
29174	2861
29175	2862
29176	2862
29177	2862
29178	2862
29179	2862
29180	2862
29181	2863
29182	2863
29197	2864
29198	2865
29199	2866
29200	2867
29201	2868
29202	2869
29203	2870
29204	2871
29205	2872
29206	2873
29207	2874
29208	2875
29209	2876
30018	131600
30055	2068
30055	2069
30056	2068
30056	2069
30057	2068
30057	2069
30058	2068
30058	2069
30059	2068
30059	2069
30079	300791
30106	2059
30425	2279
30426	2279
30427	2279
30428	2279
30429	2279
30431	2280
30432	2281
30433	2281
30434	2281
30435	2281
30436	2282
30437	2282
30439	2283
30441	2283
30442	2284
30443	2284
30444	2284
30445	2284
30446	2285
30447	2285
30448	2285
30449	2285
30450	2285
30451	2285
30452	2285
30453	2285
30454	2285
30455	2285
30456	2285
30457	2285
30458	2285
30459	2285
30460	2285
30461	2285
30462	2286
30463	2287
30464	2287
30465	2287
30466	2287
30467	2287
30468	2288
30469	2288
30470	2288
30471	2288
30472	2289
30473	2289
30474	2290
30475	2314
30476	2315
30477	2315
30478	2316
30479	2317
30480	2317
30481	2318
30482	2318
30483	2318
30484	2319
30485	2319
30486	2319
30487	2319
30536	2290
30537	2290
30538	2290
30539	2290
30540	2291
30541	2291
30542	2291
30543	2291
30544	2292
30545	2293
30546	2293
30547	2293
30548	2293
30549	2294
30550	2294
30551	2294
30552	2294
30553	2294
30554	2294
30555	2295
30556	2295
30557	2295
30558	2295
30559	2295
30560	2296
30561	2296
30562	2297
30563	2298
30564	2298
30565	2298
30566	2299
30567	2299
30568	2299
30569	2299
30570	2300
30571	2300
30572	2301
30573	2301
30574	2301
30575	2301
30576	2302
30577	2302
30578	2302
30579	2303
30580	2303
30581	2304
30582	2304
30583	2304
30584	2304
30585	2304
30750	2405
30753	2405
30754	2405
30755	2405
30756	2405
31000	31000
31020	31020
31021	31021
31022	31022
31023	31023
31024	31024
31025	31025
31026	31026
31027	31027
31028	31028
32040	2910
32041	2910
32070	2304
32071	2305
32072	2306
32073	2307
32074	2308
32075	2309
32076	2310
32077	2308
32078	2309
32079	2310
32080	2308
32081	2309
32082	2310
32084	2309
32085	2310
32087	2309
32088	2310
32090	2309
32091	2310
32093	2309
32094	2310
32096	2309
32097	2310
32099	2309
32100	2310
32102	2309
32103	2310
32104	2311
32105	2311
32106	2311
32107	2311
32108	2311
32109	2311
32110	2312
32111	2313
32112	2313
32113	2313
32114	2313
32115	2313
32116	2313
32117	2314
32118	2314
32119	2314
32226	2220
32227	2220
32228	2220
32229	2220
32230	2220
32231	2220
32232	2220
32233	2220
32234	2220
32235	2221
32236	2222
32237	2222
32238	2222
32239	2222
32240	2222
32241	2222
32242	2222
32243	2222
32244	2223
32245	2223
32246	2223
32247	2223
32248	2223
32249	2223
32250	2223
32251	2223
32252	2223
32253	2224
32254	2225
32255	2225
32256	2225
32257	2225
32258	2225
32259	2225
32260	2225
32261	2225
32262	2226
32263	2227
32264	2227
32265	2227
32266	2227
32267	2227
32268	2228
32269	2228
32270	2228
32271	2228
32272	2228
32273	2229
32274	2229
32275	2229
32276	2229
32277	2229
32278	2230
32279	2230
32280	2230
32281	2230
32282	2230
32283	2231
32284	2231
32285	2231
32286	2231
32287	2231
32288	2232
32289	2232
32290	2232
32291	2232
32292	2232
32293	2233
32294	2233
32295	2233
32296	2233
32297	2233
32298	2234
32299	2234
32300	2234
32301	2234
32302	2234
32303	2235
32304	2235
32305	2235
32306	2235
32307	2235
32308	2236
32309	2236
32310	2236
32311	2236
32312	2236
32313	2237
32314	2237
32315	2237
32316	2237
32317	2237
32318	2238
32319	2238
32320	2238
32321	2238
32322	2238
32323	2238
32324	2239
32325	2240
32326	2241
32327	2241
32328	2241
32329	2241
32330	2241
32331	2241
32332	2241
32333	2242
32334	2242
32335	2243
32336	2243
32337	2243
32338	2243
32339	2243
32340	2243
32341	2244
32342	2245
32343	2245
32344	2245
32345	2246
32346	2246
32347	2246
32348	2246
32349	2246
32350	2247
32351	2247
32352	2247
32353	2247
32354	2247
40011	126048
40012	126048
40100	1758
41000	2120
90001	131591
90001	131592
90001	131620
90001	138481
90004	904
90012	169649
120000	1350
120001	1350
120002	1350
120003	1350
120004	1350
120005	1351
120006	1352
120007	1351
120008	1351
120009	1351
120010	1351
120011	1353
120012	1354
120013	1354
120014	1354
120015	1354
120016	1353
120017	1353
120018	1353
120019	1355
120020	1356
120021	1357
120022	1358
120023	1359
120023	1360
120024	1359
120024	1360
120025	1359
120025	1360
120026	1359
120026	1360
120027	1359
120027	1360
120028	1359
120028	1360
120029	1359
120029	1360
120030	1359
120030	1360
120031	1359
120031	1360
120032	1361
120033	1359
120033	1360
120034	1359
120034	1360
120035	1359
120035	1360
120036	1359
120037	1362
120038	1363
120039	1364
120040	1365
120041	1365
120042	1365
120043	1366
120044	1366
120045	1366
120046	1367
120047	1367
120048	1367
120049	1368
120050	1368
120051	1368
120052	1368
120053	1369
120054	1370
120055	1370
120056	1371
120057	1370
120058	1372
120059	1372
120060	1372
120061	1372
120062	1373
120063	1373
120064	1373
120065	1374
120066	1375
120067	1374
120068	1375
120069	1374
120070	1376
120071	1377
120072	1377
120073	1377
120074	1377
120075	1377
120076	1378
120077	1378
120078	1378
120079	1378
120080	1378
120081	1379
120082	1379
120083	1379
120084	1379
120085	1379
120086	1380
120087	1380
120088	1380
120089	1380
120090	1380
120091	1381
120092	1381
120093	1381
120094	1381
120095	1382
120096	1382
120097	1382
120098	1383
120099	1384
120100	1385
120101	1386
120102	1387
120103	1388
120104	1389
120105	1389
120106	1389
120107	1389
120108	1389
120109	1389
120110	1389
120111	1389
120112	1389
120113	1390
120114	1391
120115	1392
120116	1392
120117	1392
120118	1393
120119	1394
120120	1394
120121	1394
120122	1394
120123	1394
120124	1394
120125	1394
120126	1394
120127	1394
120128	1395
120128	1396
120128	1397
120128	1398
